,Aac,Iac,Eac,Oac,Aca,Ica,Eca,Oca,NVC
AA1,0.592057761732852,0.10108303249097472,0.02888086642599278,0.04693140794223827,0.10830324909747292,0.02888086642599278,0.021660649819494584,0.02527075812274368,0.04693140794223827
AA2,0.2631578947368421,0.06578947368421052,0.021929824561403508,0.04824561403508772,0.44298245614035087,0.06140350877192982,0.03070175438596491,0.021929824561403508,0.043859649122807015
AA3,0.29777777777777775,0.11555555555555555,0.02666666666666667,0.04888888888888889,0.10666666666666667,0.07555555555555556,0.03111111111111111,0.013333333333333334,0.28444444444444444
AA4,0.36,0.16,0.02666666666666667,0.02666666666666667,0.14666666666666667,0.11555555555555555,0.0044444444444444444,0.013333333333333334,0.14666666666666667
AI1,0.035398230088495575,0.5132743362831859,0.035398230088495575,0.06637168141592921,0.02654867256637168,0.17256637168141592,0.01327433628318584,0.06637168141592921,0.07079646017699115
AI2,0.043010752688172046,0.21863799283154123,0.010752688172043012,0.08960573476702509,0.03225806451612903,0.4838709677419355,0.007168458781362007,0.06093189964157706,0.053763440860215055
AI3,0.039647577092511016,0.21585903083700442,0.048458149779735685,0.08370044052863436,0.004405286343612335,0.34801762114537443,0.02643171806167401,0.048458149779735685,0.18502202643171806
AI4,0.034934497816593885,0.44541484716157204,0.021834061135371178,0.06986899563318777,0.039301310043668124,0.27510917030567683,0.0,0.06550218340611354,0.048034934497816595
AE1,0.04035874439461883,0.04484304932735426,0.5067264573991032,0.04932735426008968,0.02242152466367713,0.053811659192825115,0.18834080717488788,0.03587443946188341,0.05829596412556054
AE2,0.01762114537444934,0.039647577092511016,0.23348017621145375,0.1013215859030837,0.00881057268722467,0.03524229074889868,0.36123348017621143,0.048458149779735685,0.15418502202643172
AE3,0.01762114537444934,0.03524229074889868,0.34801762114537443,0.0881057268722467,0.013215859030837005,0.08370044052863436,0.28634361233480177,0.05286343612334802,0.07488986784140969
AE4,0.013392857142857142,0.0625,0.33035714285714285,0.14732142857142858,0.017857142857142856,0.04017857142857143,0.16071428571428573,0.07142857142857142,0.15625
AO1,0.013513513513513514,0.11261261261261261,0.05405405405405406,0.4864864864864865,0.02252252252252252,0.07207207207207207,0.02702702702702703,0.12162162162162163,0.09009009009009009
AO2,0.022222222222222223,0.1288888888888889,0.06222222222222222,0.13333333333333333,0.017777777777777778,0.14222222222222222,0.017777777777777778,0.3511111111111111,0.12444444444444444
AO3,0.04017857142857143,0.12946428571428573,0.03571428571428571,0.19642857142857142,0.013392857142857142,0.12946428571428573,0.008928571428571428,0.28125,0.16517857142857142
AO4,0.03056768558951965,0.13100436681222707,0.034934497816593885,0.4497816593886463,0.008733624454148471,0.13973799126637554,0.004366812227074236,0.12663755458515283,0.07423580786026202
IA1,0.036036036036036036,0.5630630630630631,0.04054054054054054,0.0990990990990991,0.02252252252252252,0.14414414414414414,0.02702702702702703,0.04054054054054054,0.02702702702702703
IA2,0.03982300884955752,0.2079646017699115,0.022123893805309734,0.03982300884955752,0.061946902654867256,0.4646017699115044,0.022123893805309734,0.07079646017699115,0.07079646017699115
