,Aac,Iac,Eac,Oac,Aca,Ica,Eca,Oca,NVC,entropy
IE4,0.035398230088495575,0.12389380530973453,0.1415929203539823,0.2168141592920354,0.02212389380530973,0.06637168141592921,0.11504424778761063,0.07964601769911504,0.1991150442477876,2.021221024208508
IE3,0.02212389380530973,0.07964601769911504,0.14601769911504425,0.2345132743362832,0.01327433628318584,0.10176991150442477,0.17256637168141592,0.10176991150442477,0.12831858407079647,1.9960077593680072
EI4,0.017467248908296942,0.10480349344978164,0.1091703056768559,0.1091703056768559,0.021834061135371174,0.11353711790393012,0.07860262008733625,0.2096069868995633,0.23580786026200876,1.9893139736540217
OE4,0.02192982456140351,0.11403508771929825,0.13157894736842105,0.14035087719298245,0.02192982456140351,0.07894736842105263,0.11403508771929825,0.09210526315789473,0.2850877192982456,1.9830662218559618
OE2,0.017391304347826087,0.08260869565217391,0.08260869565217391,0.13478260869565215,0.021739130434782608,0.11304347826086955,0.1565217391304348,0.11739130434782608,0.27391304347826084,1.9787013677415592
OE3,0.026086956521739132,0.15217391304347827,0.1,0.22608695652173916,0.017391304347826087,0.07391304347826087,0.0782608695652174,0.1,0.22608695652173916,1.9768344586263547
IE2,0.022522522522522518,0.06306306306306306,0.1126126126126126,0.12612612612612611,0.009009009009009007,0.11711711711711713,0.23873873873873874,0.12612612612612611,0.18468468468468469,1.9754338193897651
EI2,0.04444444444444445,0.05333333333333334,0.08,0.08444444444444445,0.022222222222222227,0.12444444444444445,0.1511111111111111,0.2977777777777777,0.14222222222222222,1.9730831086644138
EI1,0.048458149779735685,0.09691629955947137,0.19823788546255505,0.09251101321585904,0.004405286343612335,0.05726872246696035,0.0881057268722467,0.18502202643171808,0.2290748898678414,1.965389005768906
EI3,0.0043859649122807015,0.09649122807017543,0.17982456140350878,0.10526315789473684,0.02631578947368421,0.07894736842105263,0.10087719298245612,0.2412280701754386,0.16666666666666666,1.9641794214177364
EO3,0.03508771929824561,0.11842105263157895,0.06578947368421052,0.10526315789473684,0.013157894736842105,0.09649122807017543,0.08771929824561403,0.18859649122807015,0.2894736842105263,1.9557517389545558
IE1,0.03125,0.11607142857142858,0.17857142857142858,0.2723214285714285,0.013392857142857142,0.049107142857142856,0.07589285714285714,0.12053571428571427,0.14285714285714285,1.9545977442723372
EO2,0.03508771929824561,0.07894736842105263,0.06578947368421052,0.09649122807017543,0.02192982456140351,0.18421052631578946,0.05263157894736842,0.2236842105263158,0.2412280701754386,1.9510099414533872
OA1,0.031111111111111114,0.22666666666666666,0.04,0.2533333333333333,0.02666666666666667,0.08444444444444445,0.057777777777777775,0.13333333333333333,0.14666666666666667,1.94128559411681
EA4,0.017777777777777778,0.057777777777777775,0.22666666666666666,0.05333333333333334,0.03555555555555556,0.07555555555555556,0.2488888888888889,0.1111111111111111,0.17333333333333334,1.936979691794642
OE1,0.008968609865470852,0.14798206278026907,0.07623318385650224,0.2645739910313901,0.022421524663677132,0.08520179372197309,0.08520179372197309,0.08968609865470853,0.21973094170403587,1.9270816782856675
OA3,0.03947368421052632,0.17982456140350878,0.04385964912280702,0.2456140350877193,0.0043859649122807015,0.14473684210526316,0.03947368421052632,0.16666666666666666,0.13596491228070176,1.9191760251163994
EO4,0.01327433628318584,0.11504424778761063,0.09734513274336284,0.1415929203539823,0.004424778761061947,0.08407079646017701,0.07079646017699115,0.1902654867256637,0.2831858407079646,1.9023106090604356
EE2,0.03524229074889868,0.09251101321585904,0.1806167400881057,0.05286343612334802,0.022026431718061675,0.08370044052863436,0.19823788546255505,0.030837004405286344,0.3039647577092511,1.8843689596639641
EO1,0.017699115044247787,0.13274336283185842,0.15486725663716813,0.09292035398230088,0.0,0.06637168141592921,0.06637168141592921,0.1504424778761062,0.3185840707964602,1.8585395272464567
OA4,0.06194690265486725,0.15486725663716813,0.035398230088495575,0.11946902654867254,0.017699115044247787,0.11061946902654868,0.030973451327433624,0.3672566371681416,0.10176991150442477,1.8562620169476909
OI3,0.01834862385321101,0.16055045871559634,0.041284403669724766,0.14220183486238533,0.013761467889908258,0.13761467889908258,0.027522935779816515,0.15137614678899086,0.3073394495412844,1.85517187797028
AE4,0.013392857142857142,0.0625,0.33035714285714285,0.14732142857142858,0.017857142857142856,0.04017857142857143,0.16071428571428573,0.07142857142857142,0.15625,1.8524778016808798
AO3,0.04017857142857143,0.12946428571428573,0.03571428571428571,0.19642857142857145,0.013392857142857142,0.12946428571428573,0.008928571428571428,0.28125,0.16517857142857142,1.851281599539367
IO2,0.02232142857142857,0.16071428571428573,0.04464285714285714,0.15625,0.02232142857142857,0.125,0.004464285714285714,0.20089285714285715,0.26339285714285715,1.8503052415611183
EE1,0.026785714285714284,0.10267857142857142,0.2455357142857143,0.06696428571428571,0.017857142857142856,0.0625,0.14285714285714285,0.03125,0.3035714285714285,1.8498852218099295
OI1,0.025974025974025976,0.21212121212121213,0.017316017316017316,0.19913419913419916,0.017316017316017316,0.09956709956709957,0.025974025974025976,0.15151515151515152,0.2510822510822511,1.8429916884620225
IO3,0.03139013452914798,0.14798206278026907,0.044843049327354265,0.17040358744394618,0.004484304932735426,0.09865470852017937,0.03139013452914798,0.14798206278026907,0.32286995515695066,1.841300647307006
AO2,0.022222222222222227,0.1288888888888889,0.06222222222222223,0.13333333333333333,0.017777777777777778,0.14222222222222222,0.017777777777777778,0.3511111111111111,0.12444444444444445,1.8375959439617209
OI2,0.02643171806167401,0.11013215859030837,0.039647577092511016,0.11894273127753305,0.004405286343612335,0.12334801762114538,0.039647577092511016,0.3303964757709251,0.20704845814977973,1.822173091086055
OI4,0.02666666666666667,0.18666666666666668,0.04444444444444445,0.10222222222222224,0.008888888888888889,0.07111111111111111,0.031111111111111114,0.21777777777777774,0.3111111111111111,1.8145988680230865
AA3,0.2977777777777777,0.11555555555555555,0.02666666666666667,0.048888888888888885,0.10666666666666667,0.07555555555555556,0.031111111111111114,0.013333333333333334,0.28444444444444444,1.8113183385349956
OO2,0.017857142857142856,0.11607142857142858,0.03571428571428571,0.14732142857142858,0.013392857142857142,0.12053571428571427,0.017857142857142856,0.2455357142857143,0.2857142857142857,1.8104120272555917
OO1,0.04782608695652174,0.16521739130434782,0.03043478260869565,0.2608695652173913,0.0,0.06956521739130435,0.017391304347826087,0.14347826086956522,0.26521739130434785,1.7861583563563266
EA1,0.04,0.06666666666666668,0.4044444444444445,0.06666666666666668,0.008888888888888889,0.057777777777777775,0.1688888888888889,0.048888888888888885,0.13777777777777778,1.7836821633614433
OA2,0.022222222222222227,0.11555555555555555,0.03555555555555556,0.12444444444444445,0.022222222222222227,0.10666666666666667,0.04444444444444445,0.4177777777777778,0.1111111111111111,1.78239864333944
II4,0.017937219730941704,0.2600896860986547,0.035874439461883414,0.08520179372197309,0.022421524663677132,0.15246636771300448,0.022421524663677132,0.07623318385650224,0.3273542600896861,1.7704473409316361
EE3,0.04867256637168142,0.0752212389380531,0.12389380530973453,0.04867256637168142,0.02654867256637168,0.04867256637168142,0.11504424778761063,0.057522123893805316,0.4557522123893805,1.7622191082334058
AI3,0.039647577092511016,0.2158590308370044,0.048458149779735685,0.08370044052863436,0.004405286343612335,0.34801762114537443,0.02643171806167401,0.048458149779735685,0.18502202643171808,1.7593495173169196
II2,0.02232142857142857,0.21875,0.026785714285714284,0.05357142857142857,0.017857142857142856,0.32142857142857145,0.03125,0.08035714285714286,0.22767857142857145,1.7556097627902638
