Theory,PointEst,yi,vi,yj,vj
Atmosphere,Detect,0.775548735,0.023766369,0.749813988,0.039900432
Matching,Detect,0.687825521,0.035777925,0.66624814,0.04591833
Conversion,Detect,0.708138021,0.023398605,0.733351935,0.03641495
PHM,Detect,0.647777158,0.013228438,0.662481399,0.033764386
FOPC,Detect,0.648660714,0.026572522,0.684291295,0.039220337
VM,Detect,0.755822173,0.014463436,0.800874256,0.027683498
MM,Detect,0.895349702,0.010667392,0.866117932,0.010892591
mReasoner,Detect,0.861188616,0.015004884,0.899088542,0.013386873
Atmosphere,Hit,0.61171875,0.061002466,0.611979167,0.108513834
Matching,Hit,0.59453125,0.101367325,0.591145833,0.135740465
Conversion,Hit,0.443229167,0.076637732,0.515625,0.120563272
PHM,Hit,0.477604167,0.03404073,0.533854167,0.088341876
FOPC,Hit,0.432552083,0.079642237,0.510416667,0.120701058
VM,Hit,0.56875,0.043196649,0.684895833,0.077704751
MM,Hit,0.944270833,0.014155368,0.963541667,0.013640873
mReasoner,Hit,0.758333333,0.056208113,0.877604167,0.045187114
Atmosphere,CorrectReject,0.93937872,0.006502236,0.88764881,0.0075119
Matching,CorrectReject,0.781119792,0.019338888,0.741350446,0.019655601
Conversion,CorrectReject,0.973046875,0.003682349,0.951078869,0.005024958
PHM,CorrectReject,0.817950149,0.017588872,0.791108631,0.01754526
FOPC,CorrectReject,0.864769345,0.031888957,0.858165923,0.027919
VM,CorrectReject,0.942894345,0.009187361,0.916852679,0.011053262
MM,CorrectReject,0.846428571,0.024915056,0.768694196,0.027410947
mReasoner,CorrectReject,0.964043899,0.005013551,0.920572917,0.009971496
