breaktype;code;datetime;givenanswer;question;time;vpid;cid
images;SPKFEB;2016-07-04T15:19:03+02:00;0;mountaincloud;6688;35;SPKFEB
images;SPKFEB;2016-07-04T15:19:05+02:00;NA;NA;8843;35;SPKFEB
images;SPKFEB;2016-07-04T15:19:43+02:00;2;nightlyforest;3965;35;SPKFEB
images;SPKFEB;2016-07-04T15:19:46+02:00;NA;NA;7114;35;SPKFEB
images;SPKFEB;2016-07-04T15:20:15+02:00;2;wave;2143;35;SPKFEB
images;SPKFEB;2016-07-04T15:20:19+02:00;NA;NA;6099;35;SPKFEB
images;IFLMNX;2016-07-04T16:00:52+02:00;3;hilltrail;6108;36;IFLMNX
images;IFLMNX;2016-07-04T16:01:09+02:00;NA;NA;23426;36;IFLMNX
images;IFLMNX;2016-07-04T16:01:54+02:00;5;waterfalls;4105;36;IFLMNX
images;IFLMNX;2016-07-04T16:01:56+02:00;NA;NA;6176;36;IFLMNX
images;IFLMNX;2016-07-04T16:02:39+02:00;9;nightlyforest;5497;36;IFLMNX
images;IFLMNX;2016-07-04T16:02:41+02:00;NA;NA;7544;36;IFLMNX
images;KODHVR;2016-07-04T17:08:15+02:00;5;frozenlake;3301;38;KODHVR
images;KODHVR;2016-07-04T17:08:38+02:00;NA;NA;25980;38;KODHVR
images;KODHVR;2016-07-04T17:09:24+02:00;7;wave;2350;38;KODHVR
images;KODHVR;2016-07-04T17:09:26+02:00;NA;NA;3989;38;KODHVR
images;KODHVR;2016-07-04T17:09:48+02:00;7;mountain;1004;38;KODHVR
images;KODHVR;2016-07-04T17:09:50+02:00;NA;NA;2837;38;KODHVR
images;EFQEDH;2016-07-04T17:57:27+02:00;8;frozenlake;2015;39;EFQEDH
images;EFQEDH;2016-07-04T17:57:28+02:00;NA;NA;3599;39;EFQEDH
images;EFQEDH;2016-07-04T17:58:28+02:00;5;waterfalls;1461;39;EFQEDH
images;EFQEDH;2016-07-04T17:58:39+02:00;NA;NA;12469;39;EFQEDH
images;EFQEDH;2016-07-04T17:59:20+02:00;5;nightlyforest;1149;39;EFQEDH
images;EFQEDH;2016-07-04T17:59:22+02:00;NA;NA;2781;39;EFQEDH
calculations;CVVNCY;2016-07-04T19:45:38+02:00;3;2 + 1 = ?;5128;42;CVVNCY
calculations;CVVNCY;2016-07-04T19:45:58+02:00;NA;NA;24583;42;CVVNCY
calculations;CVVNCY;2016-07-04T19:46:59+02:00;2;3 - 1 = ?;2379;42;CVVNCY
calculations;CVVNCY;2016-07-04T19:47:05+02:00;NA;NA;8507;42;CVVNCY
calculations;CVVNCY;2016-07-04T19:47:48+02:00;7;9 - 2 = ?;4336;42;CVVNCY
calculations;CVVNCY;2016-07-04T19:47:50+02:00;NA;NA;6448;42;CVVNCY
calculations;NUKFMS;2016-07-04T19:48:16+02:00;1;8 - 5 = ?;3188;43;NUKFMS
calculations;NUKFMS;2016-07-04T19:48:25+02:00;NA;NA;11568;43;NUKFMS
calculations;NUKFMS;2016-07-04T19:52:57+02:00;7;9 - 2 = ?;6913;43;NUKFMS
calculations;NUKFMS;2016-07-04T19:53:14+02:00;NA;NA;23870;43;NUKFMS
calculations;ZLQGSR;2016-07-04T20:05:22+02:00;8;4 + 4 = ?;6565;45;ZLQGSR
calculations;ZLQGSR;2016-07-04T20:05:25+02:00;NA;NA;9581;45;ZLQGSR
calculations;ZLQGSR;2016-07-04T20:07:04+02:00;8;9 - 2 = ?;10122;45;ZLQGSR
calculations;ZLQGSR;2016-07-04T20:07:06+02:00;NA;NA;12189;45;ZLQGSR
calculations;ZLQGSR;2016-07-04T20:08:13+02:00;8;3 + 5 = ?;6217;45;ZLQGSR
calculations;ZLQGSR;2016-07-04T20:08:15+02:00;NA;NA;8320;45;ZLQGSR
calculations;CTLGEU;2016-07-05T08:50:20+02:00;7;9 - 2 = ?;2955;46;CTLGEU
calculations;CTLGEU;2016-07-05T08:50:29+02:00;NA;NA;11491;46;CTLGEU
calculations;RJTLUP;2016-07-05T10:15:57+02:00;1;2 + 1 = ?;4452;47;RJTLUP
calculations;RJTLUP;2016-07-05T10:16:01+02:00;NA;NA;8596;47;RJTLUP
calculations;RJTLUP;2016-07-05T10:16:42+02:00;1;4 + 4 = ?;1461;47;RJTLUP
calculations;RJTLUP;2016-07-05T10:16:43+02:00;NA;NA;2773;47;RJTLUP
calculations;RJTLUP;2016-07-05T10:18:15+02:00;1;3 + 5 = ?;1407;47;RJTLUP
calculations;RJTLUP;2016-07-05T10:18:31+02:00;NA;NA;17480;47;RJTLUP
default;WQYKQD;2016-07-05T10:32:46+02:00;NA;NA;3152;50;WQYKQD
default;WQYKQD;2016-07-05T10:33:23+02:00;NA;NA;997;50;WQYKQD
default;WQYKQD;2016-07-05T10:34:09+02:00;NA;NA;968;50;WQYKQD
default;HRLIKQ;2016-07-05T03:51:32-05:00;NA;NA;5660;51;HRLIKQ
default;HRLIKQ;2016-07-05T03:53:46-05:00;NA;NA;3660;51;HRLIKQ
images;OGXXXB;2016-07-05T03:55:04-05:00;0;frozenlake;4107;56;OGXXXB
images;OGXXXB;2016-07-05T03:55:13-05:00;NA;NA;12274;56;OGXXXB
default;HRLIKQ;2016-07-05T03:55:21-05:00;NA;NA;2588;51;HRLIKQ
default;KCXKYN;2016-07-05T04:56:39-04:00;NA;NA;5596;55;KCXKYN
default;DZXULD;2016-07-05T04:56:50-04:00;NA;NA;4732;54;DZXULD
images;OGXXXB;2016-07-05T03:58:18-05:00;0;wave;2379;56;OGXXXB
images;OGXXXB;2016-07-05T03:58:20-05:00;NA;NA;3956;56;OGXXXB
images;WXMRAC;2016-07-05T14:28:46+05:30;0;frozenlake;17594;60;WXMRAC
images;WXMRAC;2016-07-05T14:28:50+05:30;NA;NA;21536;60;WXMRAC
default;KCXKYN;2016-07-05T04:59:45-04:00;NA;NA;1249;55;KCXKYN
default;DZXULD;2016-07-05T05:00:43-04:00;NA;NA;17140;54;DZXULD
images;OGXXXB;2016-07-05T04:00:54-05:00;0;waterfalls;2782;56;OGXXXB
images;OGXXXB;2016-07-05T04:00:58-05:00;NA;NA;6762;56;OGXXXB
calculations;BFCTLQ;2016-07-05T05:01:20-04:00;3;8 - 5 = ?;5169;68;BFCTLQ
calculations;BFCTLQ;2016-07-05T05:01:29-04:00;NA;NA;14321;68;BFCTLQ
default;ZZLJEB;2016-07-05T05:01:29-04:00;NA;NA;29279;53;ZZLJEB
calculations;ILNWZM;2016-07-05T02:02:20-07:00;2;3 - 1 = ?;4279;70;ILNWZM
calculations;ILNWZM;2016-07-05T02:02:26-07:00;NA;NA;9789;70;ILNWZM
calculations;RXCLJA;2016-07-05T05:03:42-04:00;2;3 - 1 = ?;5619;69;RXCLJA
calculations;RXCLJA;2016-07-05T05:03:53-04:00;NA;NA;16123;69;RXCLJA
default;DZXULD;2016-07-05T05:04:26-04:00;NA;NA;17631;54;DZXULD
default;PORDUM;2016-07-05T05:05:12-04:00;NA;NA;7530;79;PORDUM
default;ZZLJEB;2016-07-05T05:05:47-04:00;NA;NA;2791;53;ZZLJEB
images;WXMRAC;2016-07-05T14:36:20+05:30;9;wave;17005;60;WXMRAC
images;WXMRAC;2016-07-05T14:36:24+05:30;NA;NA;20884;60;WXMRAC
default;PORDUM;2016-07-05T05:06:20-04:00;NA;NA;4792;79;PORDUM
calculations;BFCTLQ;2016-07-05T05:06:45-04:00;8;3 + 5 = ?;5651;68;BFCTLQ
calculations;BFCTLQ;2016-07-05T05:06:47-04:00;NA;NA;7890;68;BFCTLQ
calculations;ILNWZM;2016-07-05T02:06:44-07:00;8;4 + 4 = ?;2415;70;ILNWZM
calculations;ILNWZM;2016-07-05T02:07:02-07:00;NA;NA;20635;70;ILNWZM
default;PORDUM;2016-07-05T05:07:38-04:00;NA;NA;5349;79;PORDUM
default;OCLXDQ;2016-07-05T03:07:57-06:00;NA;NA;43160;77;OCLXDQ
calculations;BFCTLQ;2016-07-05T05:10:36-04:00;8;4 + 4 = ?;3362;68;BFCTLQ
calculations;BFCTLQ;2016-07-05T05:10:38-04:00;NA;NA;5633;68;BFCTLQ
calculations;ILNWZM;2016-07-05T02:10:45-07:00;7;9 - 2 = ?;2338;70;ILNWZM
calculations;RXCLJA;2016-07-05T05:10:54-04:00;7;9 - 2 = ?;2613;69;RXCLJA
calculations;CIZXJU;2016-07-05T02:10:59-07:00;8;3 + 5 = ?;9438;71;CIZXJU
calculations;ILNWZM;2016-07-05T02:10:59-07:00;NA;NA;16054;70;ILNWZM
calculations;CIZXJU;2016-07-05T02:11:17-07:00;NA;NA;27809;71;CIZXJU
calculations;RXCLJA;2016-07-05T05:11:35-04:00;NA;NA;44528;69;RXCLJA
default;ZZLJEB;2016-07-05T05:12:12-04:00;NA;NA;2755;53;ZZLJEB
default;OCLXDQ;2016-07-05T03:12:25-06:00;NA;NA;11215;77;OCLXDQ
images;WFGTIP;2016-07-05T14:42:43+05:30;7;wave;18665;59;WFGTIP
images;WFGTIP;2016-07-05T14:42:58+05:30;NA;NA;34336;59;WFGTIP
images;NZFTZX;2016-07-05T04:13:57-05:00;7;hilltrail;36036;81;NZFTZX
images;WXMRAC;2016-07-05T14:44:06+05:30;5;nightlyforest;14749;60;WXMRAC
images;WXMRAC;2016-07-05T14:44:09+05:30;NA;NA;17532;60;WXMRAC
default;SJSNCL;2016-07-05T02:15:16-07:00;NA;NA;28245;75;SJSNCL
default;XWKPYB;2016-07-05T14:46:04+05:30;NA;NA;6591;73;XWKPYB
default;OCLXDQ;2016-07-05T03:17:16-06:00;NA;NA;20276;77;OCLXDQ
images;NZFTZX;2016-07-05T04:17:43-05:00;NA;NA;261508;81;NZFTZX
images;OOLGVK;2016-07-05T05:18:10-04:00;8;mountaincloud;5579;84;OOLGVK
images;OOLGVK;2016-07-05T05:18:15-04:00;NA;NA;11102;84;OOLGVK
images;WFGTIP;2016-07-05T14:49:11+05:30;9;mountain;11100;59;WFGTIP
calculations;RXCLJA;2016-07-05T05:19:17-04:00;3;8 - 5 = ?;3044;69;RXCLJA
images;WFGTIP;2016-07-05T14:49:22+05:30;NA;NA;22037;59;WFGTIP
images;OFPSFT;2016-07-05T01:19:28-08:00;8;frozenlake;444;87;OFPSFT
images;OFPSFT;2016-07-05T01:19:30-08:00;NA;NA;2307;87;OFPSFT
calculations;RXCLJA;2016-07-05T05:19:39-04:00;NA;NA;24596;69;RXCLJA
images;OFPSFT;2016-07-05T01:20:38-08:00;2;nightlyforest;415;87;OFPSFT
images;OFPSFT;2016-07-05T01:20:40-08:00;NA;NA;2793;87;OFPSFT
images;OOLGVK;2016-07-05T05:20:42-04:00;3;hilltrail;6276;84;OOLGVK
images;OOLGVK;2016-07-05T05:20:45-04:00;NA;NA;8830;84;OOLGVK
images;OFPSFT;2016-07-05T01:21:17-08:00;8;wave;399;87;OFPSFT
images;OFPSFT;2016-07-05T01:21:18-08:00;NA;NA;2037;87;OFPSFT
