age;availresolution;code;edu;gender;resolution;system;time;vpid;cid
29;1760x953;SPKFEB;matthiastest;male;1760x990;"Mozilla/5.0 (Windows NT 10.0; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0";2016-07-04T15:16:23+02:00;35;SPKFEB
999;1920x1040;IFLMNX;999;female;1920x1080;"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-04T15:45:39+02:00;36;IFLMNX
999;1920x1040;OZEJGJ;999;male;1920x1080;"Mozilla/5.0 (Windows NT 10.0; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0";2016-07-04T17:00:02+02:00;37;OZEJGJ
999;1920x1040;KODHVR;999;female;1920x1080;"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-04T17:01:59+02:00;38;KODHVR
999;1920x1040;EFQEDH;999;female;1920x1080;"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-04T17:56:01+02:00;39;EFQEDH
11;1195x704;IHGVKG;1;male;1252x704;"Mozilla/5.0 (Windows NT 10.0; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0";2016-07-04T18:55:18+02:00;41;IHGVKG
24;1440x797;CVVNCY;Bachelor of Science;male;1440x900;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/601.6.17 (KHTML, like Gecko) Version/9.1.1 Safari/601.6.17";2016-07-04T19:39:08+02:00;42;CVVNCY
1;1318x745;NUKFMS;1;male;1366x768;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:47.0) Gecko/20100101 Firefox/47.0";2016-07-04T19:45:41+02:00;43;NUKFMS
1;1440x797;OXZCEK;testtest;male;1440x900;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/601.6.17 (KHTML, like Gecko) Version/9.1.1 Safari/601.6.17";2016-07-04T19:52:53+02:00;44;OXZCEK
1;1318x745;ZLQGSR;1;male;1366x768;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:47.0) Gecko/20100101 Firefox/47.0";2016-07-04T20:03:22+02:00;45;ZLQGSR
1;1847x1177;RJTLUP;1;male;1920x1200;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T10:14:00+02:00;47;RJTLUP
1;1847x1177;KJEWTF;1;male;1920x1200;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T10:22:46+02:00;48;KJEWTF
999;1920x1040;WQYKQD;999;female;1920x1080;"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T10:31:15+02:00;50;WQYKQD
28;1366x728;HRLIKQ;some college;female;1366x768;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T03:47:58-05:00;51;HRLIKQ
56;1280x984;DZXULD;Masters degree;female;1280x1024;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T04:48:54-04:00;54;DZXULD
52;1024x728;ZZLJEB;10th Grade High School;male;1024x768;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T04:48:41-04:00;53;ZZLJEB
22;1440x808;KCXKYN;Some College;male;1440x900;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T04:49:35-04:00;55;KCXKYN
28;1366x728;OGXXXB;Highschool;female;1366x768;"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T03:49:50-05:00;56;OGXXXB
23;1366x728;ECPEFW;bachelor 4 year degree;female;1366x768;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36;2016-07-05T14:20:01+05:30;57;WXMRAC
30;1024x748;XDXUDM;bachelors;male;768x1024;"Mozilla/5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1";2016-07-05T04:50:36-04:00;58;XDXUDM
38;1024x768;XRMSKY;BA;male;1024x768;"Mozilla/5.0 (Linux; Android 6.0.1; SM-T710 Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Safari/537.36";2016-07-05T01:51:10-07:00;61;XRMSKY
23;1366x728;WFGTIP;graduate;female;1366x768;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36;2016-07-05T14:20:49+05:30;59;WFGTIP
46;1366x728;TRYNPR;bachelor s degree;female;1366x768;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T03:52:13-05:00;62;TRYNPR
