answer;answernumeric;code;modification;time;usage;usagenumeric;vpid;cid
None;-1;SPKFEB;sciencehint;0;Science;1;35;SPKFEB
None;-1;IFLMNX;sciencehint;0;Science;1;36;IFLMNX
None;-1;SPKFEB;sciencehint;0;Science;1;35;SPKFEB
None;-1;SPKFEB;sciencehint;0;Science;1;35;SPKFEB
None;-1;OZEJGJ;sciencehint;0;Science;1;37;OZEJGJ
None;-1;KODHVR;sciencehint;0;Science;1;38;KODHVR
None;-1;SPKFEB;sciencehint;0;Science;1;35;SPKFEB
None;-1;SPKFEB;sciencehint;0;Science;1;35;SPKFEB
None;-1;EFQEDH;sciencehint;0;Science;1;39;EFQEDH
None;-1;SPKFEB;sciencehint;0;Science;1;35;SPKFEB
None;-1;IHGVKG;sciencehint;0;Science;1;41;IHGVKG
None;-1;CVVNCY;sciencehint;0;Science;1;42;CVVNCY
None;-1;NUKFMS;sciencehint;0;Science;1;43;NUKFMS
None;-1;OXZCEK;sciencehint;0;Science;1;44;OXZCEK
None;-1;ZLQGSR;sciencehint;0;Science;1;45;ZLQGSR
None;-1;RJTLUP;sciencehint;0;Science;1;47;RJTLUP
None;-1;KJEWTF;sciencehint;0;Studies;2;48;KJEWTF
None;-1;WQYKQD;sciencehint;0;Studies;2;50;WQYKQD
None;-1;HRLIKQ;sciencehint;0;Studies;2;51;HRLIKQ
None;-1;DZXULD;sciencehint;0;Studies;2;54;DZXULD
None;-1;ZZLJEB;sciencehint;0;Studies;2;53;ZZLJEB
None;-1;KCXKYN;sciencehint;0;Studies;2;55;KCXKYN
None;-1;OGXXXB;sciencehint;0;Studies;2;56;OGXXXB
None;-1;WXMRAC;sciencehint;0;Studies;2;60;WXMRAC
None;-1;XDXUDM;sciencehint;0;Studies;2;58;XDXUDM
None;-1;XRMSKY;sciencehint;0;Studies;2;61;XRMSKY
None;-1;WFGTIP;sciencehint;0;Studies;2;59;WFGTIP
None;-1;TRYNPR;sciencehint;0;Studies;2;62;TRYNPR
None;-1;ERBDEL;sciencehint;0;Studies;2;64;ERBDEL
None;-1;SRDAJD;sciencehint;0;Studies;2;65;SRDAJD
None;-1;TLVNGY;sciencehint;0;Studies;2;63;TLVNGY
None;-1;UJNJQM;sciencehint;0;Studies;2;66;UJNJQM
None;-1;BFCTLQ;sciencehint;0;Studies;2;68;BFCTLQ
None;-1;RXCLJA;sciencehint;0;Studies;2;69;RXCLJA
None;-1;ILNWZM;sciencehint;0;Studies;2;70;ILNWZM
None;-1;CIZXJU;sciencehint;0;Studies;2;71;CIZXJU
None;-1;XWKPYB;sciencehint;0;None;0;73;XWKPYB
None;-1;AEDCUI;sciencehint;0;None;0;72;AEDCUI
None;-1;SJSNCL;sciencehint;0;None;0;75;SJSNCL
None;-1;PZZPBH;sciencehint;0;None;0;74;PZZPBH
None;-1;OCLXDQ;sciencehint;0;None;0;77;OCLXDQ
None;-1;AXEKRS;sciencehint;0;None;0;78;AXEKRS
None;-1;PORDUM;sciencehint;0;None;0;79;PORDUM
None;-1;RJRMNB;sciencehint;0;None;0;80;RJRMNB
None;-1;NZFTZX;sciencehint;0;None;0;81;NZFTZX
None;-1;EHKRTI;sciencehint;0;None;0;82;EHKRTI
None;-1;UNZTDR;sciencehint;0;None;0;83;UNZTDR
None;-1;OOLGVK;sciencehint;0;None;0;84;OOLGVK
None;-1;LSAVJB;sciencehint;0;None;0;85;LSAVJB
None;-1;HRGNUJ;sciencehint;0;None;0;86;HRGNUJ
None;-1;OFPSFT;sciencehint;0;None;0;87;OFPSFT
None;-1;UINQFE;sciencehint;0;None;0;88;UINQFE
None;-1;DHWBLW;sciencehint;0;None;0;89;DHWBLW
None;-1;FHFQCN;sciencehint;0;None;0;90;FHFQCN
None;-1;HJLFWC;sciencehint;0;None;0;91;HJLFWC
None;-1;QAJHLS;sciencehint;0;None;0;92;QAJHLS
None;-1;XTVGVA;sciencehint;0;None;0;93;XTVGVA
None;-1;DDNYGP;sciencehint;0;None;0;94;DDNYGP
None;-1;GSFHJZ;sciencehint;0;Science;1;96;GSFHJZ
None;-1;EOZIMP;sciencehint;0;None;0;95;EOZIMP
None;-1;ILNGPU;sciencehint;0;Science;1;97;ILNGPU
None;-1;CQHLRL;sciencehint;0;Science;1;98;CQHLRL
None;-1;IKRPHP;sciencehint;0;Science;1;99;IKRPHP
None;-1;YVUGMK;sciencehint;0;Science;1;100;YVUGMK
None;-1;JYOXRB;sciencehint;0;Science;1;101;JYOXRB
None;-1;WLMUCA;sciencehint;0;Science;1;102;WLMUCA
None;-1;SKLMFU;sciencehint;0;Science;1;103;SKLMFU
None;-1;MUXPCH;sciencehint;0;Science;1;104;MUXPCH
None;-1;AEEMGE;sciencehint;0;Science;1;105;AEEMGE
None;-1;RMYQYN;sciencehint;0;Science;1;107;RMYQYN
None;-1;FQZTGM;sciencehint;0;Science;1;108;FQZTGM
None;-1;TZVVGL;sciencehint;0;Science;1;106;TZVVGL
None;-1;ZDPRGD;sciencehint;0;Science;1;109;ZDPRGD
None;-1;ZXHZPL;sciencehint;0;Science;1;111;ZXHZPL
None;-1;XACZFH;sciencehint;0;Science;1;112;XACZFH
None;-1;TJLROQ;sciencehint;0;Science;1;113;TJLROQ
None;-1;HRJJAH;sciencehint;0;Science;1;114;HRJJAH
None;-1;JPXCCB;sciencehint;0;Science;1;115;JPXCCB
None;-1;LDWWLK;sciencehint;0;Science;1;116;LDWWLK
None;-1;BYAUWA;sciencehint;0;Science;1;117;BYAUWA
None;-1;SPPAEQ;sciencehint;0;Science;1;118;SPPAEQ
None;-1;SNEQFN;sciencehint;0;Science;1;119;SNEQFN
None;-1;BBFJUU;sciencehint;0;Studies;2;120;BBFJUU
None;-1;IIBMKM;sciencehint;0;Studies;2;121;IIBMKM
None;-1;MCIOIM;sciencehint;0;Studies;2;122;MCIOIM
None;-1;PCXPLJ;sciencehint;0;Studies;2;123;PCXPLJ
None;-1;HZTPOX;sciencehint;0;Studies;2;124;HZTPOX
