code;page;time;vpid;cid
SPKFEB;-1;5310;35;SPKFEB
SPKFEB;0;4322;35;SPKFEB
SPKFEB;1;40591;35;SPKFEB
SPKFEB;2;16832;35;SPKFEB
SPKFEB;3;3779;35;SPKFEB
IFLMNX;-1;4115;36;IFLMNX
IFLMNX;0;3526;36;IFLMNX
IFLMNX;1;85581;36;IFLMNX
IFLMNX;2;451018;36;IFLMNX
IFLMNX;3;28005;36;IFLMNX
SPKFEB;-1;1540;35;SPKFEB
SPKFEB;0;787;35;SPKFEB
SPKFEB;-1;1116;35;SPKFEB
SPKFEB;0;676;35;SPKFEB
SPKFEB;2;80258;35;SPKFEB
SPKFEB;3;2087;35;SPKFEB
KODHVR;-1;9610;38;KODHVR
KODHVR;0;17837;38;KODHVR
KODHVR;1;161942;38;KODHVR
KODHVR;2;64125;38;KODHVR
KODHVR;3;21028;38;KODHVR
EFQEDH;-1;3321;39;EFQEDH
EFQEDH;0;1068;39;EFQEDH
EFQEDH;1;2022;39;EFQEDH
EFQEDH;2;1094;39;EFQEDH
EFQEDH;3;821;39;EFQEDH
SPKFEB;-1;4330;35;SPKFEB
IHGVKG;-1;2272;41;IHGVKG
IHGVKG;0;1385;41;IHGVKG
IHGVKG;1;2121;41;IHGVKG
CVVNCY;-1;1931;42;CVVNCY
CVVNCY;0;1456;42;CVVNCY
CVVNCY;2;16441;42;CVVNCY
CVVNCY;3;5367;42;CVVNCY
NUKFMS;-1;7986;43;NUKFMS
NUKFMS;0;2469;43;NUKFMS
NUKFMS;1;1727;43;NUKFMS
NUKFMS;2;6945;43;NUKFMS
NUKFMS;3;4730;43;NUKFMS
OXZCEK;-1;1742;44;OXZCEK
OXZCEK;0;1023;44;OXZCEK
ZLQGSR;-1;1550;45;ZLQGSR
ZLQGSR;0;1387;45;ZLQGSR
ZLQGSR;1;1148;45;ZLQGSR
ZLQGSR;2;1572;45;ZLQGSR
ZLQGSR;3;1400;45;ZLQGSR
CTLGEU;2;1510;46;CTLGEU
CTLGEU;3;828;46;CTLGEU
RJTLUP;-1;2656;47;RJTLUP
RJTLUP;0;1541;47;RJTLUP
RJTLUP;1;4167;47;RJTLUP
RJTLUP;2;4703;47;RJTLUP
RJTLUP;3;1215;47;RJTLUP
KJEWTF;-1;1180;48;KJEWTF
KJEWTF;0;845;48;KJEWTF
KJEWTF;1;2061;48;KJEWTF
KJEWTF;2;885;48;KJEWTF
