breakliking;code;curious;enjoychallenges;forthemoney;likeleast;likemost;liking;motivatefriends;motivateyn;seriously;time;trymybest;vpid;cid
94;SPKFEB;1;1;1;so many tasks;images;100;great images;1;0;30328;0;35;SPKFEB
50;IFLMNX;0;0;0;999;999;50;999;1;1;11819;0;36;IFLMNX
50;KODHVR;0;0;0;999;999;50;999;1;1;10428;0;38;KODHVR
50;EFQEDH;0;0;0;999;999;50;999;0;1;10953;0;39;EFQEDH
50;CVVNCY;0;0;0;a;a;50;a;1;1;10994;0;42;CVVNCY
0;ZLQGSR;0;0;1;4;6;0;vhbj;0;0;24735;0;45;ZLQGSR
80;RJTLUP;0;0;1;1;1;77;_;1;0;11101;0;47;RJTLUP
50;WQYKQD;0;0;0;999;999;50;999;1;1;9826;0;50;WQYKQD
100;HRLIKQ;1;1;1;Feeling rushed;Contemplating my answers;85;That this is a challenging and engaging experiment.;1;1;69473;1;51;HRLIKQ
100;OGXXXB;0;1;0;Some of it was the same;The breaks with the pictures.;66;If they are up for a challenge they should try this survey it really makes you think.;1;1;69594;1;56;OGXXXB
100;DZXULD;1;1;0;trying to separate logic from common sense;Imagining a lawyer as a life guard;100;You should check out the logic HIT;1;1;94244;1;54;DZXULD
65;PORDUM;1;1;1;It was a little long, 32 would have been a little more palatable;Good brain exercise;75;_;0;1;71231;1;79;PORDUM
22;ILNWZM;1;0;1;Too long;Thinking;16;NA;0;1;31162;1;70;ILNWZM
0;BFCTLQ;0;0;0;64 questions;it was challenging;32;_;0;1;34853;0;68;BFCTLQ
100;ZZLJEB;0;0;0;complexity;complexity lol;81;_;0;1;70332;0;53;ZZLJEB
31;OFPSFT;1;0;0;head now hurts thanks;To tricky;26;Not sure ;1;0;53477;0;87;OFPSFT
60;OCLXDQ;0;0;1;The scenarios made it difficult to focus. Maybe that was part of the experiment, but I would do it more as  a is sometimes b, b is never c. ;It was challenging, but I tried to answer as fast and accurately as possible.;29;I would if I had more knowledge on what this experiment was trying to accomplish.;0;0;147859;1;77;OCLXDQ
84;OOLGVK;0;0;0;it was a little repetitive;the questions;31;I wouldn t;0;0;76101;1;84;OOLGVK
87;WXMRAC;0;0;0;it has two premises;relaxation photos;100;try the survey, its very interesting;1;1;186522;0;60;WXMRAC
100;RXCLJA;0;1;1;I would ve liked to know what my score was overall.;I enjoyed how difficult it was to consider each pair of statements with one another.;84;_;0;1;201118;0;69;RXCLJA
18;XWKPYB;1;1;0;use of mind task;short break;100;it improve our reasoning power.;1;1;124675;1;73;XWKPYB
54;FHFQCN;0;0;0;took long time ;more choice ;100;very knowledgeable ;1;1;116951;0;90;FHFQCN
100;WFGTIP;0;0;0;nothing;it was very great;97;it was very great and knowledgeable.;1;1;62310;0;59;WFGTIP
75;GSFHJZ;0;0;0;54;12;74;_;0;0;57345;1;96;GSFHJZ
